date,hospital,blood_group,demand,units_collected,stock_on_hand,units_used,units_expired,units_expiring_soon,shortage,is_weekend,is_holiday,is_dengue_season,day_of_week,month,year,week_of_year
2021-03-06,Hospital_A,O_positive,42,38,652,42,0,0,0,1,0,0,5,3,2021,9
2021-03-07,Hospital_A,O_positive,37,44,659,37,0,0,0,1,0,0,6,3,2021,9
2021-03-08,Hospital_A,O_positive,62,60,657,62,0,0,0,0,0,0,0,3,2021,10
2021-03-09,Hospital_A,O_positive,46,43,654,46,0,0,0,0,0,0,1,3,2021,10
2021-03-10,Hospital_A,O_positive,47,65,672,47,0,0,0,0,0,0,2,3,2021,10
2021-03-11,Hospital_A,O_positive,43,55,684,43,0,0,0,0,0,0,3,3,2021,10
2021-03-12,Hospital_A,O_positive,44,49,689,44,0,0,0,0,0,0,4,3,2021,10
2021-03-13,Hospital_A,O_positive,23,17,683,23,0,0,0,1,0,0,5,3,2021,10
2021-03-14,Hospital_A,O_positive,25,25,683,25,0,0,0,1,0,0,6,3,2021,10
2021-03-15,Hospital_A,O_positive,46,48,685,46,0,0,0,0,0,0,0,3,2021,11
2021-03-16,Hospital_A,O_positive,35,30,680,35,0,0,0,0,0,0,1,3,2021,11
2021-03-17,Hospital_A,O_positive,38,43,685,38,0,0,0,0,0,0,2,3,2021,11
2021-03-18,Hospital_A,O_positive,49,47,683,49,0,0,0,0,0,0,3,3,2021,11
2021-03-19,Hospital_A,O_positive,45,60,698,45,0,0,0,0,0,0,4,3,2021,11
2021-03-20,Hospital_A,O_positive,18,20,700,18,0,0,0,1,0,0,5,3,2021,11
2021-03-21,Hospital_A,O_positive,27,27,700,27,0,0,0,1,0,0,6,3,2021,11
2021-03-22,Hospital_A,O_positive,37,42,705,37,0,0,0,0,0,0,0,3,2021,12
2021-03-23,Hospital_A,O_positive,35,33,703,35,0,0,0,0,0,0,1,3,2021,12
2021-03-24,Hospital_A,O_positive,57,50,696,57,0,0,0,0,0,0,2,3,2021,12
2021-03-25,Hospital_A,O_positive,48,56,704,48,0,0,0,0,0,0,3,3,2021,12
2021-03-26,Hospital_A,O_positive,46,60,718,46,0,0,0,0,0,0,4,3,2021,12
2021-03-27,Hospital_A,O_positive,31,25,712,31,0,0,0,1,0,0,5,3,2021,12
2021-03-28,Hospital_A,O_positive,27,26,711,27,0,0,0,1,0,0,6,3,2021,12
2021-03-29,Hospital_A,O_positive,28,35,718,28,0,0,0,0,1,0,0,3,2021,13
2021-03-30,Hospital_A,O_positive,42,38,714,42,0,0,0,0,0,0,1,3,2021,13
2021-03-31,Hospital_A,O_positive,49,67,732,49,0,0,0,0,0,0,2,3,2021,13
2021-04-01,Hospital_A,O_positive,56,67,743,56,0,0,0,0,0,0,3,4,2021,13
2021-04-02,Hospital_A,O_positive,46,39,736,46,0,0,0,0,0,0,4,4,2021,13
2021-04-03,Hospital_A,O_positive,37,51,750,37,0,0,0,1,0,0,5,4,2021,13
2021-04-04,Hospital_A,O_positive,28,37,759,28,0,0,0,1,0,0,6,4,2021,13
2021-04-05,Hospital_A,O_positive,58,67,768,58,0,0,0,0,0,0,0,4,2021,14
2021-04-06,Hospital_A,O_positive,47,51,772,47,0,0,0,0,0,0,1,4,2021,14
2021-04-07,Hospital_A,O_positive,34,34,772,34,0,0,0,0,0,0,2,4,2021,14
2021-04-08,Hospital_A,O_positive,47,52,777,47,0,0,0,0,0,0,3,4,2021,14
2021-04-09,Hospital_A,O_positive,59,53,771,59,0,0,0,0,0,0,4,4,2021,14
2021-04-10,Hospital_A,O_positive,23,25,773,23,0,0,0,1,0,0,5,4,2021,14
2021-04-11,Hospital_A,O_positive,33,30,770,33,0,0,0,1,0,0,6,4,2021,14
2021-04-12,Hospital_A,O_positive,54,62,778,54,0,0,0,0,0,0,0,4,2021,15
2021-04-13,Hospital_A,O_positive,45,46,779,45,0,0,0,0,0,0,1,4,2021,15
2021-04-14,Hospital_A,O_positive,36,37,780,36,0,0,0,0,0,0,2,4,2021,15
2021-04-15,Hospital_A,O_positive,48,48,780,48,0,0,0,0,0,0,3,4,2021,15
2021-04-16,Hospital_A,O_positive,48,64,796,48,0,0,0,0,0,0,4,4,2021,15
2021-04-17,Hospital_A,O_positive,36,40,800,36,0,0,0,1,0,0,5,4,2021,15
2021-04-18,Hospital_A,O_positive,28,27,799,28,0,0,0,1,0,0,6,4,2021,15
2021-04-19,Hospital_A,O_positive,68,81,812,68,0,0,0,0,0,0,0,4,2021,16
2021-04-20,Hospital_A,O_positive,50,55,817,50,0,0,0,0,0,0,1,4,2021,16
2021-04-21,Hospital_A,O_positive,51,56,822,51,0,0,0,0,0,0,2,4,2021,16
2021-04-22,Hospital_A,O_positive,60,58,820,60,0,0,0,0,0,0,3,4,2021,16
2021-04-23,Hospital_A,O_positive,48,61,833,48,0,0,0,0,0,0,4,4,2021,16
2021-04-24,Hospital_A,O_positive,35,40,838,35,0,0,0,1,0,0,5,4,2021,16
2021-04-25,Hospital_A,O_positive,38,29,829,38,0,0,0,1,0,0,6,4,2021,16
2021-04-26,Hospital_A,O_positive,53,63,839,53,0,0,0,0,0,0,0,4,2021,17
2021-04-27,Hospital_A,O_positive,51,60,848,51,0,0,0,0,0,0,1,4,2021,17
2021-04-28,Hospital_A,O_positive,54,56,850,54,0,0,0,0,0,0,2,4,2021,17
2021-04-29,Hospital_A,O_positive,48,45,847,48,0,0,0,0,0,0,3,4,2021,17
2021-04-30,Hospital_A,O_positive,55,67,859,55,0,0,0,0,0,0,4,4,2021,17
2021-05-01,Hospital_A,O_positive,49,46,856,49,0,0,0,1,0,0,5,5,2021,17
2021-05-02,Hospital_A,O_positive,38,31,849,38,0,0,0,1,0,0,6,5,2021,17
2021-05-03,Hospital_A,O_positive,67,74,856,67,0,0,0,0,0,0,0,5,2021,18
2021-05-04,Hospital_A,O_positive,53,48,851,53,0,0,0,0,0,0,1,5,2021,18
2021-05-05,Hospital_A,O_positive,36,37,852,36,0,0,0,0,0,0,2,5,2021,18
2021-05-06,Hospital_A,O_positive,48,48,852,48,0,0,0,0,0,0,3,5,2021,18
2021-05-07,Hospital_A,O_positive,50,44,846,50,0,0,0,0,0,0,4,5,2021,18
2021-05-08,Hospital_A,O_positive,33,45,858,33,0,0,0,1,0,0,5,5,2021,18
2021-05-09,Hospital_A,O_positive,35,33,856,35,0,0,0,1,0,0,6,5,2021,18
2021-05-10,Hospital_A,O_positive,53,71,874,53,0,0,0,0,0,0,0,5,2021,19
2021-05-11,Hospital_A,O_positive,46,62,890,46,0,0,0,0,0,0,1,5,2021,19
2021-05-12,Hospital_A,O_positive,41,36,885,41,0,0,0,0,0,0,2,5,2021,19
2021-05-13,Hospital_A,O_positive,37,50,898,37,0,0,0,0,0,0,3,5,2021,19
2021-05-14,Hospital_A,O_positive,44,51,905,44,0,0,0,0,0,0,4,5,2021,19
2021-05-15,Hospital_A,O_positive,28,21,898,28,0,0,0,1,0,0,5,5,2021,19
2021-05-16,Hospital_A,O_positive,33,46,911,33,0,0,0,1,0,0,6,5,2021,19
2021-05-17,Hospital_A,O_positive,52,54,913,52,0,0,0,0,0,0,0,5,2021,20
2021-05-18,Hospital_A,O_positive,41,53,925,41,0,0,0,0,0,0,1,5,2021,20
2021-05-19,Hospital_A,O_positive,44,49,930,44,0,0,0,0,0,0,2,5,2021,20
2021-05-20,Hospital_A,O_positive,46,53,937,46,0,0,0,0,0,0,3,5,2021,20
2021-05-21,Hospital_A,O_positive,48,64,953,48,0,0,0,0,0,0,4,5,2021,20
2021-05-22,Hospital_A,O_positive,32,41,962,32,0,0,0,1,0,0,5,5,2021,20
2021-05-23,Hospital_A,O_positive,29,28,961,29,0,0,0,1,0,0,6,5,2021,20
2021-05-24,Hospital_A,O_positive,54,57,964,54,0,0,0,0,0,0,0,5,2021,21
2021-05-25,Hospital_A,O_positive,41,46,969,41,0,0,0,0,0,0,1,5,2021,21
2021-05-26,Hospital_A,O_positive,35,26,960,35,0,0,0,0,0,0,2,5,2021,21
2021-05-27,Hospital_A,O_positive,31,39,968,31,0,0,0,0,0,0,3,5,2021,21
2021-05-28,Hospital_A,O_positive,38,45,975,38,0,0,0,0,0,0,4,5,2021,21
2021-05-29,Hospital_A,O_positive,38,48,985,38,0,0,0,1,0,0,5,5,2021,21
2021-05-30,Hospital_A,O_positive,33,40,992,33,0,0,0,1,0,0,6,5,2021,21
2021-05-31,Hospital_A,O_positive,60,62,994,60,0,0,0,0,0,0,0,5,2021,22
2021-06-01,Hospital_A,O_positive,49,43,988,49,0,0,0,0,0,0,1,6,2021,22
2021-06-02,Hospital_A,O_positive,45,60,1003,45,0,0,0,0,0,0,2,6,2021,22
2021-06-03,Hospital_A,O_positive,46,59,1016,46,0,0,0,0,0,0,3,6,2021,22
2021-06-04,Hospital_A,O_positive,37,50,1029,37,0,0,0,0,0,0,4,6,2021,22
2021-06-05,Hospital_A,O_positive,22,17,1024,22,0,0,0,1,0,0,5,6,2021,22
2021-06-06,Hospital_A,O_positive,31,47,1040,31,0,0,0,1,0,0,6,6,2021,22
2021-06-07,Hospital_A,O_positive,66,69,1043,66,0,0,0,0,0,0,0,6,2021,23
2021-06-08,Hospital_A,O_positive,41,42,1044,41,0,0,0,0,0,0,1,6,2021,23
2021-06-09,Hospital_A,O_positive,45,54,1053,45,0,0,0,0,0,0,2,6,2021,23
2021-06-10,Hospital_A,O_positive,53,56,1056,53,0,0,0,0,0,0,3,6,2021,23
2021-06-11,Hospital_A,O_positive,48,57,1065,48,0,0,0,0,0,0,4,6,2021,23
2021-06-12,Hospital_A,O_positive,29,32,1068,29,0,0,0,1,0,0,5,6,2021,23
2021-06-13,Hospital_A,O_positive,38,36,1066,38,0,0,0,1,0,0,6,6,2021,23
2021-06-14,Hospital_A,O_positive,63,77,1080,63,0,0,0,0,0,0,0,6,2021,24
2021-06-15,Hospital_A,O_positive,47,53,1086,47,0,0,0,0,0,0,1,6,2021,24
2021-06-16,Hospital_A,O_positive,45,41,1082,45,0,0,0,0,0,0,2,6,2021,24
2021-06-17,Hospital_A,O_positive,43,53,1092,43,0,0,0,0,0,0,3,6,2021,24
2021-06-18,Hospital_A,O_positive,38,40,1094,38,0,0,0,0,0,0,4,6,2021,24
2021-06-19,Hospital_A,O_positive,31,35,1098,31,0,0,0,1,0,0,5,6,2021,24
2021-06-20,Hospital_A,O_positive,35,38,1101,35,0,0,0,1,0,0,6,6,2021,24
2021-06-21,Hospital_A,O_positive,57,63,1107,57,0,0,0,0,0,0,0,6,2021,25
2021-06-22,Hospital_A,O_positive,55,57,1109,55,0,0,0,0,0,0,1,6,2021,25
2021-06-23,Hospital_A,O_positive,35,37,1111,35,0,0,0,0,0,0,2,6,2021,25
2021-06-24,Hospital_A,O_positive,46,45,1110,46,0,0,0,0,0,0,3,6,2021,25
2021-06-25,Hospital_A,O_positive,50,51,1111,50,0,0,0,0,0,0,4,6,2021,25
2021-06-26,Hospital_A,O_positive,24,28,1115,24,0,0,0,1,0,0,5,6,2021,25
2021-06-27,Hospital_A,O_positive,30,33,1118,30,0,0,0,1,0,0,6,6,2021,25
2021-06-28,Hospital_A,O_positive,55,59,1122,55,0,0,0,0,0,0,0,6,2021,26
2021-06-29,Hospital_A,O_positive,52,49,1119,52,0,0,0,0,0,0,1,6,2021,26
2021-06-30,Hospital_A,O_positive,30,36,1125,30,0,0,0,0,0,0,2,6,2021,26
2021-07-01,Hospital_A,O_positive,56,68,1137,56,0,0,0,0,0,1,3,7,2021,26
2021-07-02,Hospital_A,O_positive,59,59,1137,59,0,0,0,0,0,1,4,7,2021,26
2021-07-03,Hospital_A,O_positive,37,41,1141,37,0,0,0,1,0,1,5,7,2021,26
2021-07-04,Hospital_A,O_positive,34,36,1143,34,0,0,0,1,0,1,6,7,2021,26
2021-07-05,Hospital_A,O_positive,70,88,1161,70,0,0,0,0,0,1,0,7,2021,27
2021-07-06,Hospital_A,O_positive,55,70,1176,55,0,0,0,0,0,1,1,7,2021,27
2021-07-07,Hospital_A,O_positive,65,60,1171,65,0,0,0,0,0,1,2,7,2021,27
2021-07-08,Hospital_A,O_positive,37,33,1167,37,0,0,0,0,0,1,3,7,2021,27
2021-07-09,Hospital_A,O_positive,41,44,1170,41,0,0,0,0,0,1,4,7,2021,27
2021-07-10,Hospital_A,O_positive,48,61,1183,48,0,0,0,1,0,1,5,7,2021,27
2021-07-11,Hospital_A,O_positive,32,40,1191,32,0,0,0,1,0,1,6,7,2021,27
2021-07-12,Hospital_A,O_positive,70,75,1196,70,0,0,0,0,0,1,0,7,2021,28
2021-07-13,Hospital_A,O_positive,51,55,1200,51,0,0,0,0,0,1,1,7,2021,28
2021-07-14,Hospital_A,O_positive,61,75,1214,61,0,0,0,0,0,1,2,7,2021,28
2021-07-15,Hospital_A,O_positive,45,50,1219,45,0,0,0,0,0,1,3,7,2021,28
2021-07-16,Hospital_A,O_positive,57,57,1219,57,0,0,0,0,0,1,4,7,2021,28
2021-07-17,Hospital_A,O_positive,38,49,1230,38,0,0,0,1,0,1,5,7,2021,28
2021-07-18,Hospital_A,O_positive,39,34,1225,39,0,0,0,1,0,1,6,7,2021,28
2021-07-19,Hospital_A,O_positive,79,83,1229,79,0,0,0,0,0,1,0,7,2021,29
2021-07-20,Hospital_A,O_positive,62,85,1252,62,0,0,0,0,0,1,1,7,2021,29
2021-07-21,Hospital_A,O_positive,51,51,1252,51,0,0,0,0,0,1,2,7,2021,29
2021-07-22,Hospital_A,O_positive,45,54,1261,45,0,0,0,0,0,1,3,7,2021,29
2021-07-23,Hospital_A,O_positive,50,39,1250,50,0,0,0,0,0,1,4,7,2021,29
2021-07-24,Hospital_A,O_positive,40,59,1269,40,0,0,0,1,0,1,5,7,2021,29
2021-07-25,Hospital_A,O_positive,43,46,1272,43,0,0,0,1,0,1,6,7,2021,29
2021-07-26,Hospital_A,O_positive,64,62,1270,64,0,0,0,0,0,1,0,7,2021,30
2021-07-27,Hospital_A,O_positive,53,65,1282,53,0,0,0,0,0,1,1,7,2021,30
2021-07-28,Hospital_A,O_positive,49,47,1280,49,0,0,0,0,0,1,2,7,2021,30
2021-07-29,Hospital_A,O_positive,53,67,1294,53,0,0,0,0,0,1,3,7,2021,30
2021-07-30,Hospital_A,O_positive,53,63,1304,53,0,0,0,0,0,1,4,7,2021,30
2021-07-31,Hospital_A,O_positive,41,38,1301,41,0,0,0,1,0,1,5,7,2021,30
2021-08-01,Hospital_A,O_positive,54,65,1312,54,0,0,0,1,0,1,6,8,2021,30
2021-08-02,Hospital_A,O_positive,58,75,1329,58,0,0,0,0,0,1,0,8,2021,31
2021-08-03,Hospital_A,O_positive,46,43,1326,46,0,0,0,0,0,1,1,8,2021,31
2021-08-04,Hospital_A,O_positive,55,57,1328,55,0,0,0,0,0,1,2,8,2021,31
2021-08-05,Hospital_A,O_positive,72,84,1340,72,0,0,0,0,0,1,3,8,2021,31
2021-08-06,Hospital_A,O_positive,55,57,1342,55,0,0,0,0,0,1,4,8,2021,31
2021-08-07,Hospital_A,O_positive,31,26,1337,31,0,0,0,1,0,1,5,8,2021,31
2021-08-08,Hospital_A,O_positive,30,36,1343,30,0,0,0,1,0,1,6,8,2021,31
2021-08-09,Hospital_A,O_positive,52,53,1344,52,0,0,0,0,0,1,0,8,2021,32
2021-08-10,Hospital_A,O_positive,57,62,1349,57,0,0,0,0,0,1,1,8,2021,32
2021-08-11,Hospital_A,O_positive,60,61,1350,60,0,0,0,0,0,1,2,8,2021,32
2021-08-12,Hospital_A,O_positive,47,58,1361,47,0,0,0,0,0,1,3,8,2021,32
2021-08-13,Hospital_A,O_positive,49,58,1370,49,0,0,0,0,0,1,4,8,2021,32
2021-08-14,Hospital_A,O_positive,33,40,1377,33,0,0,0,1,0,1,5,8,2021,32
2021-08-15,Hospital_A,O_positive,36,35,1376,36,0,0,0,1,1,1,6,8,2021,32
2021-08-16,Hospital_A,O_positive,64,77,1389,64,0,0,0,0,0,1,0,8,2021,33
2021-08-17,Hospital_A,O_positive,45,44,1388,45,0,0,0,0,0,1,1,8,2021,33
2021-08-18,Hospital_A,O_positive,48,55,1395,48,0,0,0,0,0,1,2,8,2021,33
2021-08-19,Hospital_A,O_positive,46,51,1400,46,0,0,0,0,0,1,3,8,2021,33
2021-08-20,Hospital_A,O_positive,52,50,1398,52,0,0,0,0,0,1,4,8,2021,33
2021-08-21,Hospital_A,O_positive,45,58,1411,45,0,0,0,1,0,1,5,8,2021,33
2021-08-22,Hospital_A,O_positive,40,44,1415,40,0,0,0,1,0,1,6,8,2021,33
2021-08-23,Hospital_A,O_positive,54,52,1413,54,0,0,0,0,0,1,0,8,2021,34
2021-08-24,Hospital_A,O_positive,52,66,1427,52,0,25,0,0,0,1,1,8,2021,34
2021-08-25,Hospital_A,O_positive,53,38,1412,53,0,19,0,0,0,1,2,8,2021,34
2021-08-26,Hospital_A,O_positive,62,68,1418,62,0,0,0,0,0,1,3,8,2021,34
2021-08-27,Hospital_A,O_positive,50,57,1425,50,0,73,0,0,0,1,4,8,2021,34
2021-08-28,Hospital_A,O_positive,33,19,1411,33,0,40,0,1,0,1,5,8,2021,34
2021-08-29,Hospital_A,O_positive,37,30,1404,37,0,3,0,1,0,1,6,8,2021,34
2021-08-30,Hospital_A,O_positive,70,65,1399,70,0,0,0,0,0,1,0,8,2021,35
2021-08-31,Hospital_A,O_positive,53,53,1399,53,0,0,0,0,0,1,1,8,2021,35
2021-09-01,Hospital_A,O_positive,50,51,1400,50,0,0,0,0,0,1,2,9,2021,35
2021-09-02,Hospital_A,O_positive,61,64,1403,61,0,0,0,0,0,1,3,9,2021,35
2021-09-03,Hospital_A,O_positive,45,43,1401,45,0,0,0,0,0,1,4,9,2021,35
2021-09-04,Hospital_A,O_positive,47,52,1406,47,0,0,0,1,0,1,5,9,2021,35
2021-09-05,Hospital_A,O_positive,40,34,1400,40,0,0,0,1,0,1,6,9,2021,35
2021-09-06,Hospital_A,O_positive,62,72,1410,62,0,0,0,0,0,1,0,9,2021,36
2021-09-07,Hospital_A,O_positive,67,69,1412,67,0,0,0,0,0,1,1,9,2021,36
2021-09-08,Hospital_A,O_positive,61,84,1435,61,0,0,0,0,0,1,2,9,2021,36
2021-09-09,Hospital_A,O_positive,70,98,1463,70,0,0,0,0,0,1,3,9,2021,36
2021-09-10,Hospital_A,O_positive,51,64,1476,51,0,0,0,0,0,1,4,9,2021,36
2021-09-11,Hospital_A,O_positive,37,33,1472,37,0,0,0,1,0,1,5,9,2021,36
2021-09-12,Hospital_A,O_positive,38,51,1485,38,0,0,0,1,0,1,6,9,2021,36
2021-09-13,Hospital_A,O_positive,66,88,1507,66,0,0,0,0,0,1,0,9,2021,37
2021-09-14,Hospital_A,O_positive,62,66,1511,62,0,0,0,0,0,1,1,9,2021,37
2021-09-15,Hospital_A,O_positive,52,59,1518,52,0,0,0,0,0,1,2,9,2021,37
2021-09-16,Hospital_A,O_positive,71,69,1516,71,0,0,0,0,0,1,3,9,2021,37
2021-09-17,Hospital_A,O_positive,45,45,1516,45,0,0,0,0,0,1,4,9,2021,37
2021-09-18,Hospital_A,O_positive,42,39,1513,42,0,0,0,1,0,1,5,9,2021,37
2021-09-19,Hospital_A,O_positive,40,40,1513,40,0,0,0,1,0,1,6,9,2021,37
2021-09-20,Hospital_A,O_positive,60,59,1512,60,0,0,0,0,0,1,0,9,2021,38
2021-09-21,Hospital_A,O_positive,53,50,1509,53,0,0,0,0,0,1,1,9,2021,38
2021-09-22,Hospital_A,O_positive,60,66,1515,60,0,0,0,0,0,1,2,9,2021,38
2021-09-23,Hospital_A,O_positive,54,57,1518,54,0,0,0,0,0,1,3,9,2021,38
2021-09-24,Hospital_A,O_positive,53,62,1527,53,0,0,0,0,0,1,4,9,2021,38
2021-09-25,Hospital_A,O_positive,53,69,1543,53,0,0,0,1,0,1,5,9,2021,38
2021-09-26,Hospital_A,O_positive,45,53,1551,45,0,0,0,1,0,1,6,9,2021,38
2021-09-27,Hospital_A,O_positive,69,69,1551,69,0,0,0,0,0,1,0,9,2021,39
2021-09-28,Hospital_A,O_positive,48,44,1547,48,0,0,0,0,0,1,1,9,2021,39
2021-09-29,Hospital_A,O_positive,49,58,1556,49,0,0,0,0,0,1,2,9,2021,39
2021-09-30,Hospital_A,O_positive,50,63,1569,50,0,0,0,0,0,1,3,9,2021,39
2021-10-01,Hospital_A,O_positive,52,66,1583,52,0,0,0,0,0,1,4,10,2021,39
2021-10-02,Hospital_A,O_positive,24,28,1587,24,0,0,0,1,1,1,5,10,2021,39
2021-10-03,Hospital_A,O_positive,41,46,1592,41,0,0,0,1,0,1,6,10,2021,39
2021-10-04,Hospital_A,O_positive,67,87,1612,67,0,0,0,0,0,1,0,10,2021,40
2021-10-05,Hospital_A,O_positive,58,62,1616,58,0,0,0,0,0,1,1,10,2021,40
2021-10-06,Hospital_A,O_positive,52,64,1628,52,0,0,0,0,0,1,2,10,2021,40
2021-10-07,Hospital_A,O_positive,54,63,1637,54,0,30,0,0,0,1,3,10,2021,40
2021-10-08,Hospital_A,O_positive,37,54,1654,37,0,0,0,0,0,1,4,10,2021,40
2021-10-09,Hospital_A,O_positive,50,64,1668,50,0,77,0,1,0,1,5,10,2021,40
2021-10-10,Hospital_A,O_positive,32,28,1664,32,0,114,0,1,0,1,6,10,2021,40
2021-10-11,Hospital_A,O_positive,64,72,1672,64,0,114,0,0,0,1,0,10,2021,41
2021-10-12,Hospital_A,O_positive,52,62,1682,52,0,155,0,0,0,1,1,10,2021,41
